allocation of annual,cash dividend per share,stock dividend per share,total,"total cash dividend(Unit:NT$100,000,000)",shareholding ratio,issuing company
92,1.2,0,1.2,13.88,14.04,碔ü北
93,1.6,0,1.6,18.48,14.04,碔ü北
94,1.7,0,1.7,19.7,14.37,碔ü北
95,1.15,0,1.15,13.32,15.01,碔ü北
96,1,0,1,11.59,15.01,碔ü北
97,1.5,0,1.5,17.39,15.01,碔ü北
98,0,0,0,0,14.26,碔ü北
99,2,0.5,2.5,23.15,14.21,碔ü北
100,1,0.5,1.5,12.16,14.16,碔ü北
101,1,0.5,1.5,12.76,14.07,碔ü北
102,1,0,1,13.41,13.11,碔ü北
103,1.5,0,1.5,20.12,13.11,碔ü北
104,3,0,3,40.24,13.11,碔ü北
105,2,0,2,26.83,13.11,碔ü北
106,2,0,2,26.83,13.11,碔ü北
107,2.3,0,2.3,30.85,13.11,碔ü北
